Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2020-06-16,23269: Δ=42,1765: Δ=2
2020-06-15,23227: Δ=32,1763: Δ=7
2020-06-14,23195: Δ=39,1756: Δ=8
2020-06-13,23156: Δ=81,1748: Δ=4
2020-06-12,23075: Δ=79,1744: Δ=11
2020-06-11,22996: Δ=107,1733: Δ=8
2020-06-10,22889: Δ=44,1725: Δ=5
2020-06-09,22845: Δ=33,1720: Δ=9
2020-06-08,22812: Δ=58,1711: Δ=6
2020-06-07,22754: Δ=68,1705: Δ=4
2020-06-06,22686: Δ=103,1701: Δ=6
2020-06-05,22583: Δ=98,1695: Δ=6
2020-06-04,22485: Δ=82,1689: Δ=13
2020-06-03,22403: Δ=107,1676: Δ=13
2020-06-02,22296: Δ=72,1663: Δ=13
2020-06-01,22224: Δ=937,1650: Δ=35
2020-05-31,21287: Δ=163,1615: Δ=19
2020-05-30,21124: Δ=152,1596: Δ=13
2020-05-29,20972: Δ=115,1583: Δ=19
2020-05-28,20857: Δ=151,1564: Δ=15
2020-05-27,20706: Δ=105,1549: Δ=14
2020-05-26,20601: Δ=62,1535: Δ=8
2020-05-25,20539: Δ=102,1527: Δ=9
2020-05-24,20437: Δ=205,1518: Δ=6
2020-05-23,20232: Δ=147,1512: Δ=16
2020-05-22,20085: Δ=155,1496: Δ=18
2020-05-21,19930: Δ=222,1478: Δ=16
2020-05-20,19708: Δ=204,1462: Δ=26
2020-05-19,19504: Δ=159,1436: Δ=24
2020-05-18,19345: Δ=216,1412: Δ=18
2020-05-17,19129: Δ=246,1394: Δ=24
2020-05-16,18883: Δ=200,1370: Δ=23
2020-05-15,18683: Δ=302,1347: Δ=20
2020-05-14,18381: Δ=180,1327: Δ=45
2020-05-13,18201: Δ=248,1282: Δ=38
2020-05-12,17953: Δ=179,1244: Δ=9
2020-05-11,17774: Δ=185,1235: Δ=28
2020-05-10,17589: Δ=282,1207: Δ=38
2020-05-09,17307: Δ=293,1169: Δ=37
2020-05-08,17014: Δ=338,1132: Δ=29
2020-05-07,16676: Δ=349,1103: Δ=33
2020-05-06,16327: Δ=347,1070: Δ=42
2020-05-05,15980: Δ=223,1028: Δ=31
2020-05-04,15757: Δ=387,997: Δ=25
2020-05-03,15370: Δ=322,972: Δ=49
2020-05-02,15048: Δ=441,923: Δ=38
2020-05-01,14607: Δ=399,885: Δ=40
2020-04-30,14208: Δ=409,845: Δ=43
2020-04-29,13799: Δ=382,802: Δ=71
2020-04-28,13417: Δ=464,731: Δ=31
2020-04-27,12953: Δ=305,700: Δ=30
2020-04-26,12648: Δ=395,670: Δ=41
2020-04-25,12253: Δ=572,629: Δ=44
2020-04-24,11681: Δ=957,585: Δ=40
2020-04-23,10724: Δ=630,545: Δ=51
2020-04-22,10094: Δ=473,494: Δ=66
2020-04-21,9621: Δ=368,428: Δ=26
2020-04-20,9253: Δ=516,402: Δ=30
2020-04-19,8737: Δ=440,372: Δ=38
2020-04-18,8297: Δ=553,334: Δ=40
2020-04-17,7744: Δ=538,294: Δ=36
2020-04-16,7206: Δ=525,258: Δ=37
2020-04-15,6681: Δ=427,221: Δ=33
2020-04-14,6254: Δ=271,188: Δ=25
2020-04-13,5983: Δ=323,163: Δ=14
2020-04-12,5660: Δ=788,149: Δ=12
2020-04-11,4872: Δ=425,137: Δ=28
2020-04-10,4447: Δ=402,109: Δ=16
2020-04-09,4045: Δ=500,93: Δ=13
2020-04-08,3545: Δ=358,80: Δ=11
