Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2020-05-07,595: Δ=15,48: Δ=1
2020-05-06,580: Δ=5,47: Δ=0
2020-05-05,575: Δ=12,47: Δ=11
2020-05-04,563: Δ=4,36: Δ=0
2020-05-03,559: Δ=10,36: Δ=3
2020-05-02,549: Δ=31,33: Δ=1
2020-05-01,518: Δ=-28,32: Δ=2
2020-04-30,546: Δ=15,30: Δ=4
2020-04-29,531: Δ=22,26: Δ=-1
2020-04-28,509: Δ=66,27: Δ=1
2020-04-27,443: Δ=16,26: Δ=2
2020-04-26,427: Δ=15,24: Δ=4
2020-04-25,412: Δ=16,20: Δ=3
2020-04-24,396: Δ=29,17: Δ=2
2020-04-23,367: Δ=22,15: Δ=1
2020-04-22,345: Δ=8,14: Δ=4
2020-04-21,337: Δ=5,10: Δ=1
2020-04-20,332: Δ=15,9: Δ=2
2020-04-19,317: Δ=11,7: Δ=0
2020-04-18,306: Δ=48,7: Δ=0
2020-04-17,258: Δ=10,7: Δ=1
2020-04-16,248: Δ=9,6: Δ=0
2020-04-15,239: Δ=6,6: Δ=0
2020-04-14,233: Δ=9,6: Δ=0
2020-04-13,224: Δ=5,6: Δ=0
2020-04-12,219: Δ=15,6: Δ=1
2020-04-11,204: Δ=10,5: Δ=1
2020-04-10,194: Δ=17,4: Δ=1
2020-04-09,177: Δ=13,3: Δ=0
2020-04-08,164: Δ=6,3: Δ=0
2020-04-07,158: Δ=11,3: Δ=0
2020-04-06,147: Δ=19,3: Δ=0
2020-04-05,128: Δ=3,3: Δ=0
2020-04-04,125: Δ=11,3: Δ=0
2020-04-03,114: Δ=12,3: Δ=1
2020-04-02,102: Δ=21,2: Δ=1
2020-04-01,81: Δ=12,1: Δ=0
2020-03-31,69: Δ=23,1: Δ=1
2020-03-30,46: Δ=9,0: Δ=0
2020-03-29,37: Δ=7,0: Δ=0
2020-03-28,30: Δ=10,0: Δ=0
2020-03-27,20: Δ=3,0: Δ=0
2020-03-26,17: Δ=6,0: Δ=0
2020-03-25,11: Δ=3,0: Δ=0
2020-03-24,8: Δ=2,0: Δ=0
2020-03-23,6: Δ=2,0: Δ=0
2020-03-22,4: Δ=2,0: Δ=0
2020-03-21,2: Δ=0,0: Δ=0
2020-03-20,2: Δ=1,0: Δ=0
2020-03-19,1: Δ=1,0: Δ=0
